Customer ID;Connection Fee and Service Charge (EUR);Total Margin (EUR);Revenue (EUR);Discount (EUR);Direct Cost (EUR);Number of Subscriptions;Number of Billing Accounts
72977620;14.70093333333333;-317.82620000000003;38.505633333333336;-28.981833333333334;-327.34999999999997;1;1
73725631;14.70093333333333;-317.26599999999996;39.90593333333332;-29.821933333333327;-327.3499999999999;1;1
73767435;14.700933333333332;-315.5852999999999;44.106733333333324;-32.342033333333326;-327.34999999999997;1;1
73874580;14.70093333333333;-317.2659999999999;39.90593333333332;-29.821933333333327;-327.3499999999999;1;1
74252079;14.70093333333333;-313.3444;49.70783333333333;-35.70223333333333;-327.35;1;1
74676073;14.70093333333333;-317.8261999999999;38.505633333333336;-28.981833333333334;-327.34999999999997;1;1
75998762;14.700933333333332;-314.5189366666667;103.89073333333333;-14.700933333333332;-403.70873666666665;1;1
76974063;14.70093333333333;-313.34439999999995;49.70783333333333;-35.70223333333333;-327.3499999999999;1;1
81459042;14.700933333333332;-316.14549999999997;42.706533333333326;-31.50203333333333;-327.35;1;1
8261126;14.70093333333333;-312.7841999999999;51.10813333333333;-36.54233333333333;-327.34999999999997;1;1
82678923;14.70093333333333;-312.4683956666668;332.2633333333333;-90.33063333333334;-554.4010956666666;2;2
83141046;14.70093333333333;-312.224;52.508333333333326;-37.38233333333333;-327.34999999999997;1;1
83165497;14.700933333333332;-318.9353205934998;349.6537;-22.051333333333336;-646.5376872601665;2;1
83806695;14.700933333333332;-316.7057999999999;41.306133333333335;-30.66193333333333;-327.34999999999997;1;1
83916250;14.700933333333332;-312.9316975619667;231.95113333333342;-61.752233333333336;-483.13059756196645;2;2
83965568;14.70093333333333;-319.32043000000016;83.46893333333334;-62.356133333333325;-340.4332300000002;2;2
84270194;14.700933333333332;-319.3467542483236;439.9880666666666;-14.700933333333332;-744.6338875816566;1;1
84415577;14.70093333333333;-315.86569999999995;41.306133333333335;-29.82183333333333;-327.34999999999997;1;1
84435780;14.700933333333332;-319.5069;34.30473333333333;-26.46163333333333;-327.3499999999999;1;1
84476626;14.700933333333332;-313.9046;48.30763333333333;-34.862233333333336;-327.34999999999997;1;1
84650804;14.70093333333333;-315.58529999999996;44.10673333333333;-32.342033333333326;-327.35;1;1
84651438;14.700933333333332;-315.5852999999999;44.10673333333333;-32.34203333333333;-327.3499999999999;1;1
84652963;14.70093333333333;-314.46489999999994;46.90723333333333;-34.02213333333333;-327.34999999999997;1;1
84654421;14.70093333333333;-315.5853;44.106733333333324;-32.34203333333333;-327.34999999999997;1;1
84654980;14.70093333333333;-314.46490000000006;46.90723333333333;-34.02213333333333;-327.3500000000001;1;1
84655179;14.70093333333333;-315.02510000000007;45.507033333333325;-33.182133333333326;-327.3500000000001;1;1
84655785;14.70093333333333;-315.58529999999996;44.10673333333333;-32.34203333333333;-327.35;1;1
84656566;14.700933333333332;-315.58529999999996;44.106733333333324;-32.34203333333333;-327.34999999999997;1;1
84657023;14.70093333333333;-314.46489999999983;46.90723333333333;-34.02213333333333;-327.3499999999999;1;1
84657335;14.700933333333332;-315.58529999999996;44.106733333333324;-32.34203333333333;-327.3499999999999;1;1
84657343;14.70093333333333;-316.70580000000007;41.30613333333333;-30.66193333333333;-327.35;1;1
84658100;14.700933333333332;-314.4649;46.90723333333332;-34.02213333333333;-327.35;1;1
84658321;14.700933333333332;-315.02510000000007;45.507033333333325;-33.182133333333326;-327.35;1;1
84667758;14.700933333333332;-315.5852999999999;44.106733333333324;-32.34203333333333;-327.34999999999997;1;1
84670219;14.700933333333332;-318.38640000000004;37.10543333333333;-28.14183333333333;-327.34999999999997;1;1
84670389;14.70093333333333;-313.9045999999999;48.30763333333333;-34.86223333333333;-327.34999999999997;1;1
84670503;14.700933333333332;-316.1455;42.70653333333333;-31.50203333333333;-327.3500000000001;1;1
84673127;14.700933333333332;-317.8262;38.50563333333333;-28.981833333333327;-327.35;1;1
84677810;14.70093333333333;-316.70579999999995;41.306133333333335;-30.66193333333333;-327.3499999999999;1;1
84680960;14.70093333333333;-317.8262000000001;38.50563333333333;-28.981833333333327;-327.35;1;1
84681797;14.70093333333333;-313.9045999999999;48.30763333333333;-34.86223333333333;-327.34999999999997;1;1
84682068;14.700933333333332;-313.9046;48.30763333333333;-34.862233333333336;-327.35;1;1
84688737;14.70093333333333;-318.3863999999998;37.10543333333333;-28.14183333333333;-327.3499999999998;1;1
84690851;14.70093333333333;-314.46489999999994;46.90723333333332;-34.02213333333333;-327.3499999999999;1;1
84693319;14.70093333333333;-313.90459999999996;48.30763333333333;-34.86223333333333;-327.35;1;1
84698131;14.70093333333333;-316.7058;41.306133333333335;-30.66193333333333;-327.34999999999997;1;1
84699328;14.700933333333332;-317.8262;38.50563333333333;-28.981833333333327;-327.34999999999997;1;1
84711394;14.700933333333332;-316.1455;42.70653333333334;-31.50203333333333;-327.3500000000001;1;1
84711698;14.700933333333332;-315.5853;44.10673333333333;-32.34203333333333;-327.35;1;1
84712444;14.700933333333332;-315.58529999999996;44.106733333333324;-32.342033333333326;-327.35;1;1
84712577;14.70093333333333;-315.58529999999996;44.106733333333324;-32.342033333333326;-327.3499999999999;1;1
84713194;14.70093333333333;-319.50689999999986;34.30473333333333;-26.46163333333333;-327.3499999999999;1;1
84713531;14.70093333333333;-319.5069;34.30473333333333;-26.46163333333333;-327.34999999999997;1;1
84713743;14.700933333333332;-319.50690000000003;34.30473333333333;-26.46163333333333;-327.34999999999997;1;1
84714226;14.70093333333333;-319.5069;34.30473333333333;-26.46163333333333;-327.35;1;1
84714405;14.70093333333333;-315.5853000000001;44.106733333333324;-32.342033333333326;-327.35;1;1
84714950;14.70093333333333;-318.9467000000001;48.30583333333333;-39.90253333333333;-327.35;1;1
84715941;14.70093333333333;-315.58529999999996;44.106733333333324;-32.342033333333326;-327.35;1;1
84715984;14.700933333333332;-319.5069000000001;34.30473333333333;-26.46163333333333;-327.3500000000001;1;1
84716267;14.700933333333332;-316.14549999999986;42.70653333333333;-31.50203333333333;-327.3499999999999;1;1
84729353;14.70093333333333;-313.90459999999985;48.30763333333333;-34.86223333333333;-327.3499999999999;1;1
84730935;14.70093333333333;-317.26599999999996;39.90593333333332;-29.821933333333327;-327.34999999999997;1;1
84732002;14.70093333333333;-317.26599999999996;39.90593333333333;-29.821933333333327;-327.3499999999999;1;1
84732655;14.700933333333332;-319.2267999999999;47.185633333333335;-39.06243333333333;-327.3499999999999;1;1
84734929;14.700933333333332;-317.266;39.90593333333333;-29.82193333333333;-327.35;1;1
84734964;14.700933333333332;-317.26599999999996;39.90593333333334;-29.821933333333334;-327.3499999999999;1;1
84735222;14.700933333333332;-312.22400000000005;52.508333333333326;-37.38233333333333;-327.35;1;1
84735687;14.70093333333333;-317.8626;49.389933333333325;-39.90253333333333;-327.34999999999997;1;1
84737395;14.70093333333333;-317.26599999999996;39.90593333333333;-29.82193333333333;-327.3499999999999;1;1
84737478;14.70093333333333;-312.7842;51.10813333333333;-36.54233333333333;-327.34999999999997;1;1
84738300;14.70093333333333;-317.26599999999985;39.90593333333332;-29.821933333333327;-327.3499999999999;1;1
84738782;14.700933333333332;-317.26599999999985;39.90593333333332;-29.821933333333327;-327.3499999999999;1;1
84751061;14.700933333333332;-318.94839999999994;23.10253333333333;-14.700933333333332;-327.34999999999997;1;1
84751984;14.700933333333332;-315.0250999999999;45.507033333333325;-33.182133333333326;-327.34999999999997;1;1
84752330;14.70093333333333;-318.3864;37.10543333333333;-28.14183333333333;-327.3499999999999;1;1
84753415;14.700933333333332;-317.8262000000001;38.505633333333336;-28.981833333333327;-327.35;1;1
84753681;14.700933333333332;-313.9045999999999;48.30763333333333;-34.86223333333333;-327.34999999999997;1;1
84754876;14.700933333333332;-316.7097139999997;246.15453333333335;-57.93913333333333;-504.9251139999998;1;1
84755093;14.70093333333333;-318.3864;37.10543333333333;-28.14183333333333;-327.3499999999999;1;1
84755329;14.700933333333332;-319.50689999999986;46.065533333333335;-38.22243333333333;-327.3499999999999;1;1
84755679;14.70093333333333;-312.2240000000001;52.508333333333326;-37.38233333333333;-327.3500000000001;1;1
84756955;14.700933333333332;-319.22679999999997;47.18563333333333;-39.06243333333333;-327.34999999999997;1;1
84757831;14.70093333333333;-318.3864;37.10543333333333;-28.14183333333333;-327.35;1;1
84773865;14.700933333333332;-312.7841999999998;51.10813333333333;-36.54233333333333;-327.3499999999999;1;1
84774353;14.700933333333332;-313.34439999999995;49.707833333333326;-35.70223333333333;-327.35;1;1
84775091;14.70093333333333;-313.3443999999999;49.70783333333333;-35.70223333333333;-327.34999999999985;1;1
84776270;14.70093333333333;-312.78419999999994;51.10813333333333;-36.54233333333333;-327.35;1;1
84781523;14.70093333333333;-316.70579999999984;41.306133333333335;-30.66193333333333;-327.3499999999999;1;1
84783223;14.700933333333332;-312.7841999999998;51.10813333333333;-36.54233333333333;-327.3499999999999;1;1
84783914;14.700933333333332;-317.8261999999999;38.50563333333333;-28.981833333333327;-327.34999999999997;1;1
84784100;14.700933333333332;-316.70579999999984;41.30613333333332;-30.66193333333333;-327.3499999999998;1;1
84784820;14.70093333333333;-313.9046;48.30763333333333;-34.86223333333333;-327.35;1;1
84784866;14.700933333333332;-313.9045999999999;48.30763333333333;-34.862233333333336;-327.34999999999997;1;1
84792903;14.700933333333332;-313.34439999999995;49.70783333333333;-35.70223333333333;-327.34999999999997;1;1
84810814;14.70093333333333;-314.23725000000013;93.50543333333331;-30.961433333333332;-376.7812500000001;1;1
84815976;14.70093333333333;-314.46489999999994;46.90723333333333;-34.02213333333333;-327.3499999999999;1;1
84820174;14.700933333333332;-316.1455;42.706533333333326;-31.50203333333333;-327.34999999999997;1;1
84820320;14.70093333333333;-318.3864;37.10543333333333;-28.14183333333333;-327.35;1;1
84820331;14.70093333333333;-315.02509999999995;45.507033333333325;-33.182133333333326;-327.34999999999997;1;1
84820811;14.70093333333333;-318.3864;37.10543333333333;-28.141833333333334;-327.35;1;1
84821057;14.70093333333333;-318.38639999999987;37.10543333333333;-28.14183333333333;-327.34999999999985;1;1
84841341;14.700933333333332;-316.14549999999997;42.70653333333333;-31.50203333333333;-327.35;1;1
84841418;14.700933333333332;-312.22399999999993;52.508333333333326;-37.38233333333333;-327.3499999999999;1;1
84841929;14.700933333333332;-316.70579999999995;41.306133333333335;-30.66193333333333;-327.34999999999997;1;1
84842023;14.70093333333333;-316.1455000000001;42.706533333333326;-31.50203333333333;-327.35;1;1
84842163;14.700933333333332;-315.5852999999999;44.106733333333324;-32.342033333333326;-327.34999999999997;1;1
84842823;14.70093333333333;-312.224;52.508333333333326;-37.38233333333333;-327.34999999999997;1;1
84842984;14.70093333333333;-316.7058;41.30613333333333;-30.66193333333333;-327.34999999999997;1;1
84843067;14.700933333333332;-319.5069000000001;34.30473333333333;-26.46163333333333;-327.35;1;1
84844608;14.700933333333332;-315.58529999999996;44.106733333333324;-32.342033333333326;-327.3499999999999;1;1
84844848;14.70093333333333;-315.5853;44.10673333333333;-32.342033333333326;-327.34999999999997;1;1
84844969;14.700933333333332;-315.58529999999996;44.106733333333324;-32.342033333333326;-327.3499999999999;1;1
84845841;14.700933333333332;-319.5068999999998;34.30473333333333;-26.46163333333333;-327.3499999999998;1;1
84846506;14.70093333333333;-316.14549999999997;42.706533333333326;-31.50203333333333;-327.34999999999997;1;1
84847006;14.70093333333333;-313.3443999999999;49.70783333333333;-35.70223333333333;-327.3499999999999;1;1
84847099;14.700933333333332;-315.5853;44.106733333333324;-32.34203333333333;-327.34999999999997;1;1
84874923;14.700933333333332;-318.38639999999987;37.10543333333333;-28.14183333333333;-327.3499999999999;1;1
84879316;14.70093333333333;-317.01455;53.20933333333333;-42.70513333333333;-327.51874999999995;1;1
84879556;14.70093333333333;-315.58529999999996;44.106733333333324;-32.342033333333326;-327.34999999999997;1;1
84993787;14.70093333333333;-315.4553164417996;189.93393333333333;-14.70093333333333;-490.68831644179977;1;1
85034769;14.70093333333333;-313.14940533333345;166.52943333333337;-14.70093333333333;-464.9779053333333;1;1
85040922;14.700933333333332;-319.7390655665931;180.36163333333337;-14.700933333333332;-485.39976556659326;1;1
85061054;14.70093333333333;-319.39053054518314;180.86583333333337;-14.70093333333333;-485.5554305451831;1;1
85070810;14.700933333333332;-315.37609802523593;180.52963333333335;-14.700933333333332;-481.2047980252362;1;1
85074020;14.700933333333332;-317.13250293075987;182.50973333333337;-14.700933333333332;-484.9413029307599;1;1
85079376;14.70093333333333;-316.5956535090299;186.00023333333334;-14.70093333333333;-487.8949535090301;1;1
85119935;14.70093333333333;-313.38358328826666;157.72233333333332;-14.70093333333333;-456.40498328826675;1;1
85127037;14.70093333333333;-316.9373000000001;51.59423333333333;-16.86903333333333;-351.6625000000001;1;1
85178247;14.70093333333333;-315.2605442850231;184.40603333333337;-14.70093333333333;-484.96564428502313;1;1
85189333;14.70093333333333;-319.2820963811895;182.06453333333332;-14.70093333333333;-486.6456963811896;1;1
8806094;14.70093333333333;-315.0250999999999;45.507033333333325;-33.182133333333326;-327.34999999999997;1;1
9091271;14.700933333333332;-315.02509999999995;45.507033333333325;-33.182133333333326;-327.3499999999999;1;1
